area;Catalyst;cat loading;ACN/H2O;Salt;concentration
2439933;NaDT;0.5;0.95;HCl;0.1
3915648.75;NaDT;0.5;0.90;HCl;0.1
6980594.5;NaDT;0.5;0.80;HCl;0.1
3330772;NaDT;1;0.95;HCl;0.1
4645924;NaDT;1;0.90;HCl;0.1
7442222.5;NaDT;1;0.80;HCl;0.1
1036965.88;TBADT;0.5;0.95;HCl;0.1
2474958.25;TBADT;0.5;0.90;HCl;0.1
3477295.5;TBADT;0.5;0.80;HCl;0.1
3031983;TBADT;1;0.95;HCl;0.1
3533188.5;TBADT;1;0.90;HCl;0.1
2364499.5;TBADT;1;0.80;HCl;0.1
3290111;NaDT;0.5;0.95;HCl;0.2
4160729;NaDT;0.5;0.90;HCl;0.2
5266847;NaDT;0.5;0.80;HCl;0.2
3928606.25;NaDT;1;0.95;HCl;0.2
3710654.5;NaDT;1;0.90;HCl;0.2
5603925;NaDT;1;0.80;HCl;0.2
2342240;TBADT;0.5;0.95;HCl;0.2
2724729;TBADT;0.5;0.90;HCl;0.2
2947260.75;TBADT;0.5;0.80;HCl;0.2
3045903.75;TBADT;1;0.95;HCl;0.2
3797958.25;TBADT;1;0.90;HCl;0.2
4884425.5;TBADT;1;0.80;HCl;0.2
7107898.5;NaDT;0.5;0.95;Bisulfate;0.1
7445002.5;NaDT;0.5;0.90;Bisulfate;0.1
7316050;NaDT;0.5;0.80;Bisulfate;0.1
7041648.5;NaDT;1;0.95;Bisulfate;0.1
7163473;NaDT;1;0.90;Bisulfate;0.1
7417724;NaDT;1;0.80;Bisulfate;0.1
5638011.5;TBADT;0.5;0.95;Bisulfate;0.1
5677528;TBADT;0.5;0.90;Bisulfate;0.1
4869150.5;TBADT;0.5;0.80;Bisulfate;0.1
5807237.5;TBADT;1;0.95;Bisulfate;0.1
6764078;TBADT;1;0.90;Bisulfate;0.1
6359567.5;TBADT;1;0.80;Bisulfate;0.1
7373928.5;NaDT;0.5;0.95;Bisulfate;0.2
7541970.5;NaDT;0.5;0.90;Bisulfate;0.2
7321477;NaDT;0.5;0.80;Bisulfate;0.2
7050699;NaDT;1;0.95;Bisulfate;0.2
7267142;NaDT;1;0.90;Bisulfate;0.2
7184423;NaDT;1;0.80;Bisulfate;0.2
4804072;TBADT;0.5;0.95;Bisulfate;0.2
5451758;TBADT;0.5;0.90;Bisulfate;0.2
5167672;TBADT;0.5;0.80;Bisulfate;0.2
6768097;TBADT;1;0.95;Bisulfate;0.2
6169896.5;TBADT;1;0.90;Bisulfate;0.2
6974414.5;TBADT;1;0.80;Bisulfate;0.2
5997647.5;NaDT;0.5;0.95;MSA;0.1
7087594.5;NaDT;0.5;0.90;MSA;0.1
6407546.5;NaDT;0.5;0.80;MSA;0.1
6866010;NaDT;1;0.95;MSA;0.1
7166145;NaDT;1;0.90;MSA;0.1
7338159.5;NaDT;1;0.80;MSA;0.1
6023957;TBADT;0.5;0.95;MSA;0.1
5863349;TBADT;0.5;0.90;MSA;0.1
4917926.5;TBADT;0.5;0.80;MSA;0.1
6462518;TBADT;1;0.95;MSA;0.1
6880737;TBADT;1;0.90;MSA;0.1
7015385;TBADT;1;0.80;MSA;0.1
7076229;NaDT;0.5;0.95;MSA;0.2
7675614;NaDT;0.5;0.90;MSA;0.2
7633040;NaDT;0.5;0.80;MSA;0.2
7506017;NaDT;1;0.95;MSA;0.2
7515332.5;NaDT;1;0.90;MSA;0.2
7410389.5;NaDT;1;0.80;MSA;0.2
6230646.5;TBADT;0.5;0.95;MSA;0.2
6345552.5;TBADT;0.5;0.90;MSA;0.2
5854542;TBADT;0.5;0.80;MSA;0.2
7029224;TBADT;1;0.95;MSA;0.2
6916443;TBADT;1;0.90;MSA;0.2
7255450.5;TBADT;1;0.80;MSA;0.2
6917386;NaDT;0.5;0.95;NDSA;0.1
6939441;NaDT;0.5;0.90;NDSA;0.1
6969096.5;NaDT;0.5;0.80;NDSA;0.1
5415465.5;NaDT;1;0.95;NDSA;0.1
7168635.5;NaDT;1;0.90;NDSA;0.1
7189888.5;NaDT;1;0.80;NDSA;0.1
2526904;TBADT;0.5;0.95;NDSA;0.1
3961675.75;TBADT;0.5;0.90;NDSA;0.1
3884425.25;TBADT;0.5;0.80;NDSA;0.1
5805900;TBADT;1;0.95;NDSA;0.1
6298171.5;TBADT;1;0.90;NDSA;0.1
5663594;TBADT;1;0.80;NDSA;0.1
6131000;NaDT;0.5;0.95;NDSA;0.2
7183762.5;NaDT;0.5;0.90;NDSA;0.2
7029385;NaDT;0.5;0.80;NDSA;0.2
7027284;NaDT;1;0.95;NDSA;0.2
7446235.5;NaDT;1;0.90;NDSA;0.2
7334998.5;NaDT;1;0.80;NDSA;0.2
3032439.25;TBADT;0.5;0.95;NDSA;0.2
4226477;TBADT;0.5;0.90;NDSA;0.2
3733244;TBADT;0.5;0.80;NDSA;0.2
5430885;TBADT;1;0.95;NDSA;0.2
5932910;TBADT;1;0.90;NDSA;0.2
6234323.5;TBADT;1;0.80;NDSA;0.2
