location;area;Catalyst;cat loading;ACN/H2O;Salt;concentration
A:1;2439933;NaDT;0.5;95;HCl;0.1
A:2;3915648.75;NaDT;0.5;90;HCl;0.1
A:3;6980594.5;NaDT;0.5;80;HCl;0.1
A:4;3330772;NaDT;1;95;HCl;0.1
A:5;4645924;NaDT;1;90;HCl;0.1
A:6;7442222.5;NaDT;1;80;HCl;0.1
A:7;1036965.88;TBADT;0.5;95;HCl;0.1
A:8;2474958.25;TBADT;0.5;90;HCl;0.1
A:9;3477295.5;TBADT;0.5;80;HCl;0.1
A:10;3031983;TBADT;1;95;HCl;0.1
A:11;3533188.5;TBADT;1;90;HCl;0.1
A:12;2364499.5;TBADT;1;80;HCl;0.1
B:1;3290111;NaDT;0.5;95;HCl;0.2
B:2;4160729;NaDT;0.5;90;HCl;0.2
B:3;5266847;NaDT;0.5;80;HCl;0.2
B:4;3928606.25;NaDT;1;95;HCl;0.2
B:5;3710654.5;NaDT;1;90;HCl;0.2
B:6;5603925;NaDT;1;80;HCl;0.2
B:7;2342240;TBADT;0.5;95;HCl;0.2
B:8;2724729;TBADT;0.5;90;HCl;0.2
B:9;2947260.75;TBADT;0.5;80;HCl;0.2
B:10;3045903.75;TBADT;1;95;HCl;0.2
B:11;3797958.25;TBADT;1;90;HCl;0.2
B:12;4884425.5;TBADT;1;80;HCl;0.2
C:1;7107898.5;NaDT;0.5;95;Bisulfate;0.1
C:2;7445002.5;NaDT;0.5;90;Bisulfate;0.1
C:3;7316050;NaDT;0.5;80;Bisulfate;0.1
C:4;7041648.5;NaDT;1;95;Bisulfate;0.1
C:5;7163473;NaDT;1;90;Bisulfate;0.1
C:6;7417724;NaDT;1;80;Bisulfate;0.1
C:7;5638011.5;TBADT;0.5;95;Bisulfate;0.1
C:8;5677528;TBADT;0.5;90;Bisulfate;0.1
C:9;4869150.5;TBADT;0.5;80;Bisulfate;0.1
C:10;5807237.5;TBADT;1;95;Bisulfate;0.1
C:11;6764078;TBADT;1;90;Bisulfate;0.1
C:12;6359567.5;TBADT;1;80;Bisulfate;0.1
D:1;7373928.5;NaDT;0.5;95;Bisulfate;0.2
D:2;7541970.5;NaDT;0.5;90;Bisulfate;0.2
D:3;7321477;NaDT;0.5;80;Bisulfate;0.2
D:4;7050699;NaDT;1;95;Bisulfate;0.2
D:5;7267142;NaDT;1;90;Bisulfate;0.2
D:6;7184423;NaDT;1;80;Bisulfate;0.2
D:7;4804072;TBADT;0.5;95;Bisulfate;0.2
D:8;5451758;TBADT;0.5;90;Bisulfate;0.2
D:9;5167672;TBADT;0.5;80;Bisulfate;0.2
D:10;6768097;TBADT;1;95;Bisulfate;0.2
D:11;6169896.5;TBADT;1;90;Bisulfate;0.2
D:12;6974414.5;TBADT;1;80;Bisulfate;0.2
E:1;5997647.5;NaDT;0.5;95;MSA;0.1
E:2;7087594.5;NaDT;0.5;90;MSA;0.1
E:3;6407546.5;NaDT;0.5;80;MSA;0.1
E:4;6866010;NaDT;1;95;MSA;0.1
E:5;7166145;NaDT;1;90;MSA;0.1
E:6;7338159.5;NaDT;1;80;MSA;0.1
E:7;6023957;TBADT;0.5;95;MSA;0.1
E:8;5863349;TBADT;0.5;90;MSA;0.1
E:9;4917926.5;TBADT;0.5;80;MSA;0.1
E:10;6462518;TBADT;1;95;MSA;0.1
E:11;6880737;TBADT;1;90;MSA;0.1
E:12;7015385;TBADT;1;80;MSA;0.1
F:1;7076229;NaDT;0.5;95;MSA;0.2
F:2;7675614;NaDT;0.5;90;MSA;0.2
F:3;7633040;NaDT;0.5;80;MSA;0.2
F:4;7506017;NaDT;1;95;MSA;0.2
F:5;7515332.5;NaDT;1;90;MSA;0.2
F:6;7410389.5;NaDT;1;80;MSA;0.2
F:7;6230646.5;TBADT;0.5;95;MSA;0.2
F:8;6345552.5;TBADT;0.5;90;MSA;0.2
F:9;5854542;TBADT;0.5;80;MSA;0.2
F:10;7029224;TBADT;1;95;MSA;0.2
F:11;6916443;TBADT;1;90;MSA;0.2
F:12;7255450.5;TBADT;1;80;MSA;0.2
G:1;6917386;NaDT;0.5;95;NDSA;0.1
G:2;6939441;NaDT;0.5;90;NDSA;0.1
G:3;6969096.5;NaDT;0.5;80;NDSA;0.1
G:4;5415465.5;NaDT;1;95;NDSA;0.1
G:5;7168635.5;NaDT;1;90;NDSA;0.1
G:6;7189888.5;NaDT;1;80;NDSA;0.1
G:7;2526904;TBADT;0.5;95;NDSA;0.1
G:8;3961675.75;TBADT;0.5;90;NDSA;0.1
G:9;3884425.25;TBADT;0.5;80;NDSA;0.1
G:10;5805900;TBADT;1;95;NDSA;0.1
G:11;6298171.5;TBADT;1;90;NDSA;0.1
G:12;5663594;TBADT;1;80;NDSA;0.1
H:1;6131000;NaDT;0.5;95;NDSA;0.2
H:2;7183762.5;NaDT;0.5;90;NDSA;0.2
H:3;7029385;NaDT;0.5;80;NDSA;0.2
H:4;7027284;NaDT;1;95;NDSA;0.2
H:5;7446235.5;NaDT;1;90;NDSA;0.2
H:6;7334998.5;NaDT;1;80;NDSA;0.2
H:7;3032439.25;TBADT;0.5;95;NDSA;0.2
H:8;4226477;TBADT;0.5;90;NDSA;0.2
H:9;3733244;TBADT;0.5;80;NDSA;0.2
H:10;5430885;TBADT;1;95;NDSA;0.2
H:11;5932910;TBADT;1;90;NDSA;0.2
H:12;6234323.5;TBADT;1;80;NDSA;0.2
